FECHA_CORTE,FECHA_REGISTRO,ANO_EJEC,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,COMISIONADO,CENTRO_COSTO,FECHA_INICIO_COMISION,FECHA_FIN_COMISION,FECHA_RENDICION_VIATICOS,FF_PVI,CLASIFICADOR_VIATICO_PVI,TIPO_RUTA,MONTO_TOTAL_VIATICO_PVI,MONTO_PASAJE,GASTO_ALIMENTACION,GASTO_HOSPEDAJE,GASTO_MOVILIDAD
20230731,20220711,2022,PIURA,HUANCABAMBA,HUANCABAMBA,200301,0x0E23615BDE9D53703A21A10A33CE4E4A,GERENCIA REGIONAL DE INFRAESTRUCTURA,20220705,20220708,20220727,18,2.6. 8  1. 4  3,T,400,0,200,200,0
20230731,20220720,2022,PIURA,HUANCABAMBA,HUANCABAMBA,200301,0x0E23615BDE9D53703A21A10A33CE4E4A,GERENCIA REGIONAL DE INFRAESTRUCTURA,20220714,20220716,20220811,18,2.6. 8  1. 4  3,T,300,0,150,100,0
20230731,20191206,2019,PIURA,HUANCABAMBA,HUANCABAMBA,200301,0x0E23615BDE9D53703A21A10A33CE4E4A,GERENCIA REGIONAL DE INFRAESTRUCTURA,20191212,20191213,20191220,18,2.6. 8  1. 4  3,T,160,0,120,40,0
20230731,20190925,2019,PIURA,AYABACA,AYABACA,200201,0x0E23615BDE9D53703A21A10A33CE4E4A,GERENCIA REGIONAL DE INFRAESTRUCTURA,20190926,20190927,20191014,18,2.6. 8  1. 4  3,T,160,0,120,40,0
20230731,20190821,2019,PIURA,HUANCABAMBA,HUARMACA,200304,0x0E23615BDE9D53703A21A10A33CE4E4A,GERENCIA REGIONAL DE INFRAESTRUCTURA,20190822,20190823,20190916,18,2.6. 8  1. 4  3,T,160,0,120,40,0
20230731,20190716,2019,LIMA,LIMA,LIMA,150101,0x0E32294BB480845B988C2251F994FFC7,DIRECCION REGIONAL DE ENERGIA Y MINAS,20190717,20190719,20190819,13,2.3. 2  1. 2  2,T,960,300,250.9,420,275.1
20230731,20190118,2019,LIMA,LIMA,LIMA,150101,0x0E32294BB480845B988C2251F994FFC7,DIRECCION REGIONAL DE ENERGIA Y MINAS,20190120,20190123,20190204,0,2.3. 2  1. 2  2,T,960,300,278,420,262
20230731,20230512,2023,LIMA,LIMA,LIMA,150101,0x0E32294BB480845B988C2251F994FFC7,DIRECCION REGIONAL DE ENERGIA Y MINAS,20230523,20230526,20230609,0,2.3. 2  1. 2  2,T,1280,320,520,480,280
20230731,20221114,2022,LIMA,LIMA,LIMA,150101,0x0E32294BB480845B988C2251F994FFC7,DIRECCION REGIONAL DE ENERGIA Y MINAS,20221127,20221130,20221213,0,2.3. 2  1. 2  2,T,960,300,311.9,480,168.1
20230731,20221003,2022,NULL,NULL,NULL,,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20221016,20221021,20221028,0,2.3. 2  1. 1  2,A,12571.2,14319.67,461.65,721.26,747.19
20230731,20221003,2022,LIMA,LIMA,LIMA,150101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20221015,20221022,20221028,0,2.3. 2  1. 2  2,A,640,NULL,160,NULL,192
20230731,20221003,2022,PIURA,PIURA,PIURA,200101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20221015,20221022,20221028,0,2.3. 2  1. 2  2,A,640,NULL,160,NULL,192
20230731,20221123,2022,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20221123,20221126,20221220,0,2.3. 2  1. 2  2,A,960,1950,519.5,390,288
20230731,20220720,2022,LIMA,LIMA,LIMA,150101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20220711,20220713,20220810,0,2.3. 2  1. 2  2,A,640,1250,259.7,NULL,192
20230731,20220616,2022,LIMA,LIMA,LIMA,150101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20220615,20220616,20220630,0,2.3. 2  1. 2  2,A,640,1400,200.5,130,192
20230731,20190305,2019,LIMA,LIMA,LIMA,150101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20190305,20190306,20190325,0,2.3. 2  1. 2  2,A,640,859,174,240,192
20230731,20190326,2019,LIMA,LIMA,LIMA,150101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20190326,20190328,20190408,0,2.3. 2  1. 2  2,A,640,750,234,159,192
20230731,20190701,2019,LIMA,LIMA,LIMA,150101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20190612,20190613,20190715,0,2.3. 2  1. 2  2,A,640,700,151,250,192
20230731,20190426,2019,LIMA,LIMA,LIMA,150101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20190428,20190430,20190513,0,2.3. 2  1. 2  2,A,640,600,355.1,NULL,192
20230731,20190715,2019,LIMA,LIMA,LIMA,150101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20190718,20190720,20190807,0,2.3. 2  1. 2  2,A,640,760,NULL,NULL,0
20230731,20190826,2019,LIMA,LIMA,LIMA,150101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20190822,20190824,20191125,9,2.3. 2  1. 2  2,A,640,792.48,244.7,NULL,192
20230731,20191204,2019,LIMA,LIMA,LIMA,150101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20191128,20191201,20191218,0,2.3. 2  1. 2  2,A,960,1100,168.8,429.9,288
20230731,20191219,2019,LIMA,LIMA,LIMA,150101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20191119,20191121,20200103,9,2.3. 2  1. 2  2,A,640,921.98,301.2,NULL,192
20230731,20191127,2019,LIMA,LIMA,LIMA,150101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20191114,20191116,20191206,9,2.3. 2  1. 2  2,A,640,1100,354.4,NULL,192
20230731,20191017,2019,LIMA,LIMA,LIMA,150101,0x0E6606090740001337C4A7E60DD4FB6F,SECRETARIA DE CONSEJO REGIONAL,20191017,20191019,20191125,9,2.3. 2  1. 2  2,A,640,1056.87,285,NULL,96
20230731,20221104,2022,LIMA,LIMA,LIMA,150101,0x0EC1F1E5B2059EB2ACF712A56793D683,SECRETARIA DE CONSEJO REGIONAL,20221104,20221106,20221129,0,2.3. 2  1. 2  2,A,960,2000,319.4,360,288
20230731,20191119,2019,PIURA,MORROPON,CHALACO,200403,0x0F430D7A196712AB0DC1384386DBC1D3,CENTRO DE SERVICIO DE EQUIPO MECANIZADO,20191121,20191122,20191224,9,2.3. 2  1. 2  2,T,160,0,120,40,0
20230731,20190430,2019,PIURA,AYABACA,AYABACA,200201,0x0F9928C0DE012F82FD0D69BD49D53626,SUB GERENCIA REGIONAL DE NORMAS Y SUPERVISION - GRDS,20190429,20190430,20190520,0,2.3. 2  1. 2  2,T,160,0,120,40,0
20230731,20190621,2019,PIURA,AYABACA,AYABACA,200201,0x0F9928C0DE012F82FD0D69BD49D53626,SUB GERENCIA REGIONAL DE NORMAS Y SUPERVISION - GRDS,20190627,20190628,20190719,18,2.3. 2  1. 2  2,T,160,0,120,40,0
20230731,20221207,2022,PIURA,TALARA,MANCORA,200706,0x1051FE9FFCE581B9F691FCA66D7AC324,OFICINA DE ABASTECIMIENTOS  SERVICIOS AUXILIARES Y CONTROL PATRIMONIAL,20221208,20221210,20221221,0,2.3. 2  1. 2  2,T,360,60,150,150,60
20230731,20220922,2022,PIURA,HUANCABAMBA,HUARMACA,200304,0x10797226ED090181DDA49C904DAF35DD,ALDEA SAN MIGUEL PIURA,20220919,20220920,20221014,0,2.3. 2  1. 2  2,T,200,0,100,100,0
