FECHA_CORTE;CODIGO_UNICO;SECTOR;OPMI;UF;UEI;UBIGEO;DEPRTAMENTO;PROVINCIA;FUNCION;TIPO_DE_INVERSION;NOMBRE_DE_INVERSION;COSTO_ACTUALIZADO;DEVENGADO_ACUMULADO_AL_31_DIC_2021);PIM_2022;MONTO_ANO_2022;MONTO_ANO_2023;MONTO_ANO_2024;MONTO_ANO_2025
20/10/2022;2548997;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE DESARROLLO SOCIAL;150500;LIMA;CAÑETE;EDUCACION;INVERSIONES IOARR;"ADQUISICION DE EQUIPAMIENTO DE LABORATORIO; EN EL(LA) IST CAÑETE  DISTRITO DE QUILMANA, PROVINCIA CAÑETE, DEPARTAMENTO LIMA";461830;0;461830;50000;0;0;0
20/10/2022;2543697;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE;150700;LIMA;HUAROCHIRI;ORDEN PUBLICO Y SEGURIDAD;INVERSIONES IOARR;"ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE SAN ANTONIO  DISTRITO DE SAN ANTONIO, PROVINCIA HUAROCHIRI, DEPARTAMENTO LIMA";691498;0;691498;691498;0;0;0
20/10/2022;2543752;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE;150700;LIMA;HUAROCHIRI;ORDEN PUBLICO Y SEGURIDAD;INVERSIONES IOARR;"ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE SAN BARTOLOME  DISTRITO DE SAN BARTOLOME, PROVINCIA HUAROCHIRI, DEPARTAMENTO LIMA";252006;0;252006;252006;0;0;0
20/10/2022;2537318;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE;150700;LIMA;HUAROCHIRI;ORDEN PUBLICO Y SEGURIDAD;INVERSIONES IOARR;"ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE SANTO DOMINGO DE LOS OLLEROS  DISTRITO DE SANTO DOMINGO DE LOS OLLEROS, PROVINCIA HUAROCHIRI, DEPARTAMENTO LIMA";242056;0;242056;242056;0;0;0
20/10/2022;2327009;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA SUB REGIONAL LIMA SUR;150500;LIMA;CAÑETE;EDUCACION;PROYECTO DE INVERSION;MEJORAMIENTO, AMPLIACION DEL SERVICIO EDUCATIVO DE NIVEL INICIAL I.E.I. N 595 DEL CENTRO POBLADO LA FLORIDA, DISTRITO DE NUEVO IMPERIAL, PROVINCIA DE CAÑETE REGION LIMA;3325379;3160736;164643;164643;0;0;0
20/10/2022;2550702;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE DESARROLLO SOCIAL;150800;LIMA;HUAURA;SALUD;INVERSIONES IOARR;"ADQUISICION DE SISTEMA DE CIRUGIA LAPAROSCOPICA; EN EL(LA) EESS HOSPITAL GENERAL DE HUACHO - HUACHO  DISTRITO DE HUACHO, PROVINCIA HUAURA, DEPARTAMENTO LIMA";565000;0;565000;509840;0;0;0
20/10/2022;2108524;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA SUB REGIONAL LIMA SUR;150500;LIMA;CAÑETE;AGROPECUARIA;PROYECTO DE INVERSION;MEJORAMIENTO DEL CANAL HUANCA, TRAMO SAN TUSTIO-PUQUIO CASTILLA, DISTRITO DE SAN VICENTE DE CAÑETE - PROVINCIA DE CAÑETE - LIMA;3131944;3040414;91531;91530;0;0;0
20/10/2022;2537314;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE;150700;LIMA;HUAROCHIRI;ORDEN PUBLICO Y SEGURIDAD;INVERSIONES IOARR;"ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD PROVINCIAL DE HUAROCHIRÍ  DISTRITO DE MATUCANA, PROVINCIA HUAROCHIRI, DEPARTAMENTO LIMA";242056;0;242056;242056;0;0;0
20/10/2022;2532504;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE;151000;LIMA;YAUYOS;ORDEN PUBLICO Y SEGURIDAD;INVERSIONES IOARR;"ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE AYAUCA  DISTRITO DE AYAUCA, PROVINCIA YAUYOS, DEPARTAMENTO LIMA";192930;0;192930;192930;0;0;0
20/10/2022;2524364;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE;151000;LIMA;YAUYOS;ORDEN PUBLICO Y SEGURIDAD;INVERSIONES IOARR;"ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE TANTA  DISTRITO DE TANTA, PROVINCIA YAUYOS, DEPARTAMENTO LIMA";192930;0;192930;192930;0;0;0
20/10/2022;2550025;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE DESARROLLO ECONOMICO;150300;LIMA;CAJATAMBO;AGROPECUARIA;PROYECTO DE INVERSION;MEJORAMIENTO SISTEMA DE RIEGO  MARIANGAYAN EN LA LOCALIDAD DE  MARIANGAYAN  DISTRITO DE GORGOR - PROVINCIA DE CAJATAMBO - DEPARTAMENTO DE LIMA;92796;0;92796;92796;0;0;0
20/10/2022;2524497;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE;151000;LIMA;YAUYOS;ORDEN PUBLICO Y SEGURIDAD;INVERSIONES IOARR;"ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE VIÑAC  DISTRITO DE VIÑAC, PROVINCIA YAUYOS, DEPARTAMENTO LIMA";192930;0;192930;192930;0;0;0
20/10/2022;2537646;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE;151000;LIMA;YAUYOS;ORDEN PUBLICO Y SEGURIDAD;INVERSIONES IOARR;"ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE COCHAS  DISTRITO DE COCHAS, PROVINCIA YAUYOS, DEPARTAMENTO LIMA";242056;0;242056;242056;0;0;0
20/10/2022;2524511;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE;151000;LIMA;YAUYOS;ORDEN PUBLICO Y SEGURIDAD;INVERSIONES IOARR;"ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE CATAHUASI  DISTRITO DE CATAHUASI, PROVINCIA YAUYOS, DEPARTAMENTO LIMA";192930;0;192930;192930;0;0;0
20/10/2022;2526205;GOBIERNOS REGIONALES;OPMI DEL GOBIERNO REGIONAL LIMA;GOBIERNO REGIONAL LIMA;GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE;150600;LIMA;HUARAL;ORDEN PUBLICO Y SEGURIDAD;INVERSIONES IOARR;"ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE ANDAMARCA  DISTRITO DE SANTA CRUZ DE ANDAMARCA, PROVINCIA HUARAL, DEPARTAMENTO LIMA";196794;0;196794;196794;0;0;0
